Herb_Name,Concentration,pH,TDS_ppm,ORP_mV,Temperature_C,Color_R,Color_G,Color_B,Potency
Ashwagandha,0.0,5.754,0.0,-13.33,24.7,249,230,222,Empty
Ashwagandha,0.0,6.927,16.06,-17.88,25.68,217,192,194,Empty
Ashwagandha,0.0,6.221,0.0,17.24,26.27,250,199,255,Empty
Ashwagandha,0.0,6.731,3.83,1.61,23.9,255,255,242,Empty
Ashwagandha,0.0,6.18,0.0,3.03,28.39,244,255,205,Empty
Ashwagandha,0.0,6.186,0.13,6.93,27.13,236,224,234,Empty
Ashwagandha,0.0,6.615,0.0,-22.22,25.4,255,255,227,Empty
Ashwagandha,0.0,6.39,0.0,-0.18,22.1,198,196,216,Empty
Ashwagandha,0.0,7.044,7.07,8.94,25.78,227,184,249,Empty
Ashwagandha,0.0,6.415,5.1,-6.3,23.61,255,222,231,Empty
Ashwagandha,0.0,7.246,6.33,-0.3,21.83,198,213,255,Empty
Ashwagandha,0.0,6.555,0.0,10.25,27.22,212,224,211,Empty
Ashwagandha,0.0,7.016,0.0,-1.17,25.23,214,255,221,Empty
Ashwagandha,0.0,6.449,0.0,-13.35,27.1,255,255,255,Empty
Ashwagandha,0.0,6.692,0.55,10.95,24.76,211,245,235,Empty
Ashwagandha,0.0,6.0,0.0,-1.4,26.57,255,245,250,Empty
Ashwagandha,0.0,7.4,0.56,0.8,24.59,255,251,225,Empty
Ashwagandha,0.0,6.938,0.0,-19.25,25.89,199,255,215,Empty
Ashwagandha,0.0,6.156,0.0,4.93,27.01,239,255,255,Empty
Ashwagandha,0.0,6.865,3.52,-3.89,24.78,253,255,149,Empty
Ashwagandha,0.0,6.472,0.0,-3.3,25.54,229,230,255,Empty
Ashwagandha,0.0,6.543,0.99,10.28,25.62,255,255,245,Empty
Ashwagandha,0.0,5.933,0.0,-7.48,24.24,255,224,255,Empty
Ashwagandha,0.0,5.271,0.0,8.5,25.18,227,255,242,Empty
Ashwagandha,0.0,6.456,0.0,-5.69,26.77,255,255,194,Empty
Ashwagandha,0.0,7.082,0.0,2.56,23.91,238,209,255,Empty
Ashwagandha,0.0,6.405,7.89,-6.24,24.1,214,181,255,Empty
Ashwagandha,0.0,6.91,2.66,8.85,25.1,255,253,227,Empty
Ashwagandha,0.0,6.541,6.46,16.51,25.35,239,255,141,Empty
Ashwagandha,0.0,6.337,2.9,9.51,26.63,255,255,236,Empty
Ashwagandha,0.0,6.364,0.0,-0.63,24.41,216,248,255,Empty
Ashwagandha,0.0,6.458,2.55,-12.56,23.93,236,241,209,Empty
Ashwagandha,0.0,7.264,1.11,-3.97,26.03,255,255,247,Empty
Ashwagandha,0.0,6.808,17.31,-2.89,26.46,255,255,255,Empty
Ashwagandha,0.0,6.292,0.0,8.94,25.17,203,235,239,Empty
Ashwagandha,0.0,5.882,8.93,5.41,26.37,249,151,255,Empty
Ashwagandha,0.0,6.861,0.0,3.92,28.14,221,255,255,Empty
Ashwagandha,0.0,6.774,0.72,-5.39,24.69,255,244,231,Empty
Ashwagandha,0.0,6.962,0.54,3.42,28.77,214,252,235,Empty
Ashwagandha,0.0,6.53,3.13,-9.59,23.53,226,255,255,Empty
Ashwagandha,0.0,6.983,5.92,-15.26,26.15,254,249,220,Empty
Ashwagandha,0.0,6.273,0.0,10.23,26.11,255,234,208,Empty
Ashwagandha,0.0,6.83,0.0,-14.93,24.47,255,195,255,Empty
Ashwagandha,0.0,5.548,0.0,0.7,27.55,255,255,191,Empty
Ashwagandha,0.0,6.326,4.11,10.52,24.84,246,255,206,Empty
Ashwagandha,0.0,7.43,4.0,19.12,24.22,246,255,230,Empty
Ashwagandha,0.0,7.125,0.0,-14.13,25.32,182,252,214,Empty
Ashwagandha,0.0,6.565,0.0,-9.28,25.56,226,244,192,Empty
Ashwagandha,0.0,6.691,6.42,-5.25,24.17,255,255,213,Empty
Ashwagandha,0.0,6.606,0.73,-13.86,24.8,255,202,230,Empty
Ashwagandha,0.0,6.048,3.47,-4.32,23.69,255,255,223,Empty
Ashwagandha,0.0,6.849,0.0,-3.25,24.02,229,255,173,Empty
Ashwagandha,0.0,6.337,0.0,-9.92,25.46,217,187,252,Empty
Ashwagandha,0.0,6.602,5.58,0.85,24.57,255,241,235,Empty
Ashwagandha,0.0,6.245,0.0,2.86,25.15,239,211,213,Empty
Ashwagandha,0.0,6.609,2.03,-15.42,23.54,244,199,210,Empty
Ashwagandha,0.0,6.713,0.0,29.06,25.11,196,253,224,Empty
Ashwagandha,0.0,6.043,8.66,-0.22,24.98,233,201,218,Empty
Ashwagandha,0.0,6.305,0.26,-3.14,26.58,255,227,242,Empty
Ashwagandha,0.0,5.512,6.62,3.95,26.03,250,255,255,Empty
Ashwagandha,0.0,6.712,1.57,-2.05,22.98,218,213,206,Empty
Ashwagandha,0.0,6.216,0.0,-26.02,26.35,250,255,219,Empty
Ashwagandha,0.0,6.668,0.0,9.53,25.47,196,207,255,Empty
Ashwagandha,0.0,6.973,9.78,6.67,22.23,254,237,255,Empty
Ashwagandha,0.0,7.052,0.0,15.23,26.75,244,219,255,Empty
Ashwagandha,0.0,6.915,4.23,18.27,23.5,217,246,255,Empty
Ashwagandha,0.0,5.972,0.0,5.63,23.39,244,231,245,Empty
Ashwagandha,0.0,6.165,0.0,12.2,26.21,249,255,251,Empty
Ashwagandha,0.0,5.719,0.0,9.85,24.02,255,244,255,Empty
Ashwagandha,0.0,6.413,0.0,6.27,22.96,255,255,255,Empty
Ashwagandha,0.0,7.011,7.31,-18.26,24.1,215,249,203,Empty
Ashwagandha,0.0,6.374,0.0,13.33,25.39,204,255,248,Empty
Ashwagandha,0.0,6.556,0.88,1.07,24.66,255,208,215,Empty
Ashwagandha,0.0,5.775,12.03,-6.89,25.49,255,255,255,Empty
Ashwagandha,0.0,5.865,6.79,-6.39,25.78,215,255,255,Empty
Ashwagandha,0.0,6.664,0.0,-17.72,23.2,255,252,230,Empty
Ashwagandha,0.0,6.61,1.38,1.68,24.17,218,213,254,Empty
Ashwagandha,0.0,6.641,0.03,9.04,26.24,254,213,255,Empty
Ashwagandha,0.0,6.905,0.0,10.91,25.33,247,184,255,Empty
Ashwagandha,0.0,6.387,0.0,-2.88,24.23,188,242,247,Empty
Ashwagandha,0.0,6.806,0.0,-18.47,21.08,208,228,255,Empty
Ashwagandha,0.0,6.856,0.0,-2.03,25.48,255,255,210,Empty
Ashwagandha,0.0,5.855,0.0,-8.17,23.4,255,255,248,Empty
Ashwagandha,0.0,6.37,3.66,-10.19,25.96,223,223,215,Empty
Ashwagandha,0.0,6.39,5.06,-7.52,24.07,192,255,255,Empty
Ashwagandha,0.0,6.846,2.52,-14.37,23.75,252,255,162,Empty
Ashwagandha,0.0,6.539,0.0,-1.26,25.32,244,229,209,Empty
Ashwagandha,0.0,6.225,2.25,-14.79,23.41,218,218,255,Empty
Ashwagandha,0.0,6.592,7.79,16.53,24.48,249,235,212,Empty
Ashwagandha,0.0,6.233,0.0,-8.9,26.25,214,243,255,Empty
Ashwagandha,0.0,6.754,0.0,6.54,24.99,247,255,181,Empty
Ashwagandha,0.0,6.702,1.99,21.71,23.78,232,208,245,Empty
Ashwagandha,0.0,6.944,0.0,5.36,25.1,254,255,252,Empty
Ashwagandha,0.0,7.31,4.84,12.25,24.62,151,177,255,Empty
Ashwagandha,0.0,6.293,0.0,0.04,25.35,186,214,255,Empty
Ashwagandha,0.0,6.682,0.0,13.02,27.33,201,241,219,Empty
Ashwagandha,0.0,5.694,0.0,-2.06,23.58,249,232,255,Empty
Ashwagandha,0.0,6.169,0.0,-0.72,24.95,244,211,187,Empty
Ashwagandha,0.0,7.266,1.52,4.74,26.18,211,191,255,Empty
Ashwagandha,0.0,7.087,0.0,20.04,23.91,197,255,255,Empty
Ashwagandha,0.0,6.63,0.0,-5.55,26.74,227,221,219,Empty
Ashwagandha,0.0,6.484,0.0,9.45,24.66,255,250,199,Empty
Ashwagandha,0.0,6.749,0.0,-0.27,23.31,248,255,255,Empty
Ashwagandha,0.0,6.638,0.0,-8.65,25.12,207,225,255,Empty
Ashwagandha,0.0,6.103,0.0,-8.54,25.88,255,229,255,Empty
Ashwagandha,0.0,6.508,0.0,-3.43,23.87,255,176,229,Empty
Ashwagandha,0.0,6.845,0.0,-0.25,24.85,255,200,199,Empty
Ashwagandha,0.0,7.499,0.0,1.98,23.71,255,186,236,Empty
Ashwagandha,0.0,6.231,0.0,-6.18,26.01,255,231,255,Empty
Ashwagandha,0.0,6.4,4.36,0.99,26.7,255,255,255,Empty
Ashwagandha,0.0,5.868,13.36,-5.46,24.56,231,177,255,Empty
Ashwagandha,0.0,6.599,3.28,-3.55,25.47,255,255,255,Empty
Ashwagandha,0.0,6.219,0.0,9.78,27.73,240,255,255,Empty
Ashwagandha,0.0,6.94,0.0,-8.86,24.65,223,160,255,Empty
Ashwagandha,0.0,6.99,0.0,17.04,23.56,191,255,233,Empty
Ashwagandha,0.0,6.587,0.17,5.69,26.1,255,146,194,Empty
Ashwagandha,0.0,6.948,0.25,1.48,25.3,161,244,255,Empty
Ashwagandha,0.0,6.093,2.47,2.42,26.24,251,249,226,Empty
Ashwagandha,0.0,6.046,0.0,3.33,21.94,255,235,255,Empty
Ashwagandha,0.0,6.679,0.0,0.46,24.08,240,255,255,Empty
Ashwagandha,0.0,6.466,0.0,-10.92,26.43,255,255,224,Empty
Ashwagandha,0.0,5.98,0.0,-1.05,25.24,218,255,226,Empty
Ashwagandha,0.0,6.963,0.0,-21.44,26.38,232,176,255,Empty
Ashwagandha,0.0,6.58,0.0,17.53,24.18,223,199,214,Empty
Ashwagandha,0.0,6.631,4.05,6.35,27.78,232,255,255,Empty
Ashwagandha,0.0,6.77,6.37,11.72,22.62,229,213,230,Empty
Ashwagandha,0.0,6.952,0.0,-14.27,25.74,255,186,200,Empty
Ashwagandha,0.0,6.956,0.0,12.26,25.34,199,255,205,Empty
Ashwagandha,0.0,6.379,3.87,3.32,24.08,255,208,255,Empty
Ashwagandha,0.0,6.435,0.0,-5.49,24.8,205,242,224,Empty
Ashwagandha,0.0,6.009,12.38,4.7,25.69,230,255,255,Empty
Ashwagandha,0.0,6.602,0.0,9.61,23.01,255,215,255,Empty
Ashwagandha,0.0,7.097,0.0,9.51,24.28,255,235,190,Empty
Ashwagandha,0.0,6.562,11.4,-16.55,27.23,242,255,210,Empty
Ashwagandha,0.0,6.236,0.0,-9.86,26.02,244,255,255,Empty
Ashwagandha,0.0,6.484,0.0,2.49,26.47,255,255,230,Empty
Ashwagandha,0.0,6.52,0.0,-2.87,24.59,227,225,211,Empty
Ashwagandha,0.0,6.422,7.19,-7.19,25.33,247,255,252,Empty
Ashwagandha,0.0,7.163,4.28,1.17,24.17,178,183,233,Empty
Ashwagandha,0.0,6.458,0.0,-28.59,26.42,211,241,255,Empty
Ashwagandha,0.0,6.366,4.9,-0.68,23.23,255,254,243,Empty
Ashwagandha,0.0,6.997,0.0,0.67,24.93,255,238,216,Empty
Ashwagandha,0.0,6.242,0.0,-15.12,24.03,162,216,255,Empty
Ashwagandha,0.0,6.135,0.0,7.57,24.69,214,162,255,Empty
Ashwagandha,0.0,6.683,2.53,-6.19,24.91,255,216,225,Empty
Ashwagandha,0.0,6.06,5.34,-5.21,25.75,255,255,206,Empty
Ashwagandha,0.0,6.664,0.0,13.62,24.98,255,166,255,Empty
Ashwagandha,0.0,6.891,1.55,-0.89,24.42,202,255,253,Empty
Ashwagandha,0.0,6.043,1.97,13.85,24.5,233,205,255,Empty
Ashwagandha,0.0,7.223,0.0,-1.05,25.65,237,247,255,Empty
Ashwagandha,0.0,6.288,0.0,-21.14,20.57,246,231,246,Empty
Ashwagandha,0.0,6.177,0.0,14.62,26.64,218,200,226,Empty
Ashwagandha,0.0,6.627,0.0,-12.08,27.0,255,255,255,Empty
Ashwagandha,0.0,6.59,0.0,-7.72,23.83,255,255,255,Empty
Ashwagandha,0.0,6.913,0.0,8.4,24.18,255,239,255,Empty
Ashwagandha,0.0,6.902,0.0,-5.02,23.72,190,255,255,Empty
Ashwagandha,0.0,7.066,1.83,12.6,25.93,239,200,255,Empty
Ashwagandha,0.0,6.763,4.68,-6.17,27.17,247,248,221,Empty
Ashwagandha,0.0,6.162,0.11,-14.98,24.54,241,254,202,Empty
Ashwagandha,0.0,6.789,0.0,12.86,24.19,233,228,200,Empty
Ashwagandha,0.0,6.677,0.0,-2.78,23.98,245,255,207,Empty
Ashwagandha,0.0,6.297,0.82,-5.72,27.02,255,255,216,Empty
Ashwagandha,0.0,6.557,0.0,-3.46,26.88,175,255,251,Empty
Ashwagandha,0.0,6.538,2.16,13.23,22.79,142,219,230,Empty
Ashwagandha,0.0,6.934,0.0,-2.8,24.13,157,255,239,Empty
Ashwagandha,0.0,6.577,0.0,-4.99,25.66,231,196,210,Empty
Ashwagandha,0.5,6.58,78.71,48.35,25.6,217,245,176,Low
Ashwagandha,0.5,6.147,136.21,64.14,26.07,213,228,224,Low
Ashwagandha,0.5,6.518,114.91,65.13,27.11,255,220,176,Low
Ashwagandha,0.5,7.203,101.2,47.44,25.02,222,131,158,Low
Ashwagandha,0.5,7.36,80.91,61.81,26.03,255,238,178,Low
Ashwagandha,0.5,6.467,177.25,74.78,23.7,229,204,144,Low
Ashwagandha,0.5,7.44,81.78,105.98,24.87,204,193,193,Low
Ashwagandha,0.5,6.532,91.78,35.98,27.08,197,216,192,Low
Ashwagandha,0.5,5.954,216.16,88.57,26.28,205,254,182,Low
Ashwagandha,0.5,5.991,90.67,7.18,24.88,195,253,166,Low
Ashwagandha,0.5,6.47,136.51,129.61,26.31,207,186,248,Low
Ashwagandha,0.5,6.441,93.5,32.49,24.45,189,174,195,Low
Ashwagandha,0.5,6.609,85.1,80.92,25.89,250,166,159,Low
Ashwagandha,0.5,7.162,154.19,107.46,23.48,228,155,128,Low
Ashwagandha,0.5,6.279,154.66,69.09,25.31,171,255,177,Low
Ashwagandha,0.5,6.146,132.82,72.92,24.85,255,219,174,Low
Ashwagandha,0.5,7.069,104.86,97.1,25.97,255,215,154,Low
Ashwagandha,0.5,6.555,93.14,96.32,25.87,209,255,199,Low
Ashwagandha,0.5,6.703,117.18,57.47,25.08,226,198,209,Low
Ashwagandha,0.5,7.056,132.72,108.78,25.56,255,202,199,Low
Ashwagandha,0.5,6.739,126.73,75.13,23.68,211,235,198,Low
Ashwagandha,0.5,7.046,127.36,38.94,25.63,255,190,149,Low
Ashwagandha,0.5,6.379,110.91,59.94,23.63,255,222,222,Low
Ashwagandha,0.5,5.999,141.72,125.05,25.46,255,255,199,Low
Ashwagandha,0.5,6.415,69.47,113.12,27.32,255,255,151,Low
Ashwagandha,0.5,6.481,107.34,83.31,25.49,178,176,207,Low
Ashwagandha,0.5,6.517,123.71,175.08,25.82,255,235,255,Low
Ashwagandha,0.5,6.781,104.83,103.14,23.53,255,190,205,Low
Ashwagandha,0.5,5.834,154.14,110.16,26.49,217,211,190,Low
Ashwagandha,0.5,7.139,158.96,90.8,24.03,237,219,225,Low
Ashwagandha,0.5,6.445,80.42,70.29,25.87,255,114,165,Low
Ashwagandha,0.5,6.313,79.88,80.86,25.78,191,195,197,Low
Ashwagandha,0.5,6.797,164.89,13.17,24.45,219,255,147,Low
Ashwagandha,0.5,6.605,151.14,76.49,24.61,255,255,215,Low
Ashwagandha,0.5,6.429,85.81,91.97,24.7,229,194,232,Low
Ashwagandha,0.5,6.501,86.38,150.01,27.49,210,222,182,Low
Ashwagandha,0.5,6.265,70.4,114.21,24.68,205,212,213,Low
Ashwagandha,0.5,6.603,146.27,98.31,26.93,225,213,181,Low
Ashwagandha,0.5,6.515,141.7,53.25,23.9,228,181,188,Low
Ashwagandha,0.5,6.804,87.14,76.65,25.2,254,253,134,Low
Ashwagandha,0.5,6.493,155.62,132.31,26.43,207,164,143,Low
Ashwagandha,0.5,5.942,149.57,77.14,24.76,143,236,178,Low
Ashwagandha,0.5,6.532,157.73,24.46,24.59,229,246,186,Low
Ashwagandha,0.5,5.996,82.78,92.94,26.74,194,210,209,Low
Ashwagandha,0.5,5.52,86.68,50.85,26.09,215,207,170,Low
Ashwagandha,0.5,6.056,106.06,74.16,24.13,255,237,157,Low
Ashwagandha,0.5,6.364,134.87,37.95,24.74,234,242,163,Low
Ashwagandha,0.5,6.142,152.5,60.78,24.95,248,202,188,Low
Ashwagandha,0.5,6.182,68.69,67.48,24.52,200,234,183,Low
Ashwagandha,0.5,6.536,102.08,43.71,25.89,255,207,148,Low
Ashwagandha,0.5,6.366,163.65,44.37,24.42,225,233,177,Low
Ashwagandha,0.5,6.172,88.72,55.18,22.9,248,193,184,Low
Ashwagandha,0.5,5.994,126.74,17.42,25.98,231,123,255,Low
Ashwagandha,0.5,6.434,117.68,81.07,24.21,237,243,172,Low
Ashwagandha,0.5,6.9,151.99,62.85,26.22,241,216,184,Low
Ashwagandha,0.5,6.68,58.04,49.42,25.85,255,244,197,Low
Ashwagandha,0.5,5.989,138.54,18.13,27.64,213,220,146,Low
Ashwagandha,0.5,6.908,103.19,51.13,26.25,194,196,202,Low
Ashwagandha,0.5,5.962,120.16,102.15,26.29,237,172,207,Low
Ashwagandha,0.5,6.581,134.38,65.47,26.53,255,203,178,Low
Ashwagandha,0.5,6.407,141.41,91.48,23.74,255,231,245,Low
Ashwagandha,0.5,6.745,117.34,48.31,22.78,254,219,225,Low
Ashwagandha,0.5,5.968,138.72,73.59,23.48,214,240,226,Low
Ashwagandha,0.5,6.294,102.88,115.06,26.88,205,196,242,Low
Ashwagandha,0.5,5.894,158.97,69.69,25.05,131,225,181,Low
Ashwagandha,0.5,7.401,98.84,91.04,24.6,183,222,186,Low
Ashwagandha,0.5,6.75,133.54,99.6,23.69,210,224,194,Low
Ashwagandha,0.5,5.831,154.19,38.96,26.81,155,205,186,Low
Ashwagandha,0.5,6.302,134.18,61.75,24.56,250,188,178,Low
Ashwagandha,0.5,6.383,107.19,128.4,25.92,213,255,134,Low
Ashwagandha,0.5,6.616,106.18,64.5,27.84,174,231,235,Low
Ashwagandha,0.5,7.379,147.2,115.95,25.96,209,240,233,Low
Ashwagandha,0.5,6.496,164.32,64.76,24.27,247,215,255,Low
Ashwagandha,0.5,6.423,112.01,43.95,24.64,227,183,207,Low
Ashwagandha,0.5,6.605,104.18,64.23,25.71,255,229,201,Low
Ashwagandha,0.5,6.355,104.8,94.7,24.85,205,161,187,Low
Ashwagandha,0.5,6.054,95.07,72.01,24.51,244,241,248,Low
Ashwagandha,0.5,6.465,111.86,113.18,25.39,210,153,183,Low
Ashwagandha,0.5,5.862,125.45,95.43,25.23,210,183,202,Low
Ashwagandha,0.5,6.195,99.03,14.31,25.13,251,165,216,Low
Ashwagandha,0.5,5.841,156.71,80.75,25.82,219,167,188,Low
Ashwagandha,0.5,6.259,142.88,134.06,23.85,255,175,223,Low
Ashwagandha,0.5,6.338,144.82,122.78,24.9,210,218,165,Low
Ashwagandha,0.5,6.796,213.51,56.97,23.53,255,239,177,Low
Ashwagandha,0.5,6.54,139.86,83.27,26.73,255,143,194,Low
Ashwagandha,0.5,5.798,100.96,83.84,26.27,244,211,216,Low
Ashwagandha,0.5,6.637,163.6,20.81,23.45,235,209,234,Low
Ashwagandha,0.5,6.547,172.1,30.24,25.27,166,212,245,Low
Ashwagandha,0.5,6.245,135.46,43.0,25.58,187,157,235,Low
Ashwagandha,0.5,7.707,124.85,99.5,24.73,252,255,255,Low
Ashwagandha,0.5,6.073,93.69,49.27,26.02,171,255,196,Low
Ashwagandha,0.5,7.044,111.63,130.5,26.53,232,222,151,Low
Ashwagandha,0.5,6.129,138.08,71.62,25.53,255,194,244,Low
Ashwagandha,0.5,6.396,174.77,70.22,22.24,191,222,181,Low
Ashwagandha,0.5,6.534,97.16,67.3,25.07,255,255,190,Low
Ashwagandha,0.5,6.341,112.8,84.07,23.95,255,255,202,Low
Ashwagandha,0.5,6.778,142.95,110.43,25.35,216,175,215,Low
Ashwagandha,0.5,6.236,99.09,57.51,25.37,185,196,193,Low
Ashwagandha,0.5,6.783,64.46,91.9,24.31,255,254,143,Low
Ashwagandha,0.5,7.362,88.61,85.06,25.05,212,255,200,Low
Ashwagandha,0.5,6.801,62.87,102.59,22.99,226,222,174,Low
Ashwagandha,0.5,6.57,108.56,77.86,26.77,168,202,193,Low
Ashwagandha,0.5,6.778,177.04,71.07,25.02,255,249,194,Low
Ashwagandha,0.5,5.967,174.1,85.55,23.59,114,213,236,Low
Ashwagandha,0.5,5.496,202.28,86.41,26.87,255,146,162,Low
Ashwagandha,0.5,7.141,124.33,28.31,24.93,238,248,212,Low
Ashwagandha,0.5,6.66,111.69,63.24,26.07,237,215,191,Low
Ashwagandha,0.5,6.849,99.94,75.8,23.49,209,227,245,Low
Ashwagandha,0.5,5.988,128.65,70.33,24.59,204,162,168,Low
Ashwagandha,0.5,6.904,111.91,68.6,24.99,233,221,223,Low
Ashwagandha,0.5,6.108,173.79,41.38,26.09,255,255,175,Low
Ashwagandha,0.5,6.92,137.3,65.4,26.3,159,214,206,Low
Ashwagandha,0.5,6.364,173.43,68.82,26.62,230,251,183,Low
Ashwagandha,0.5,6.657,150.32,65.98,22.46,226,215,196,Low
Ashwagandha,0.5,5.946,85.74,68.9,25.0,218,255,167,Low
Ashwagandha,0.5,6.755,144.13,23.92,26.91,203,222,183,Low
Ashwagandha,0.5,6.025,126.8,103.48,23.87,239,254,218,Low
Ashwagandha,0.5,6.44,63.28,76.23,28.14,173,203,248,Low
Ashwagandha,0.5,6.35,93.25,99.41,24.82,221,195,184,Low
Ashwagandha,0.5,7.031,86.88,105.14,24.23,237,250,201,Low
Ashwagandha,0.5,6.611,136.2,108.87,24.95,169,194,255,Low
Ashwagandha,0.5,6.307,143.44,31.84,25.6,185,237,170,Low
Ashwagandha,0.5,6.36,149.04,49.09,25.1,255,240,221,Low
Ashwagandha,0.5,6.664,208.01,68.09,25.9,255,193,240,Low
Ashwagandha,0.5,6.86,156.48,85.78,23.97,242,204,165,Low
Ashwagandha,0.5,7.003,121.96,67.12,23.94,255,255,212,Low
Ashwagandha,0.5,6.902,136.08,107.96,24.33,186,222,141,Low
Ashwagandha,0.5,6.669,147.68,23.3,26.66,214,192,196,Low
Ashwagandha,0.5,6.24,196.94,66.06,25.19,222,170,174,Low
Ashwagandha,0.5,6.706,120.92,71.64,24.07,210,247,207,Low
Ashwagandha,0.5,7.291,138.74,73.94,23.02,191,208,176,Low
Ashwagandha,0.5,7.019,100.13,94.4,25.34,173,241,227,Low
Ashwagandha,0.5,6.17,155.08,77.54,24.75,255,172,165,Low
Ashwagandha,0.5,6.44,129.5,68.07,23.32,249,239,255,Low
Ashwagandha,0.5,6.641,143.88,67.53,25.21,237,187,227,Low
Ashwagandha,0.5,6.708,98.11,60.76,26.21,185,190,187,Low
Ashwagandha,0.5,6.609,127.72,33.01,27.3,255,246,213,Low
Ashwagandha,0.5,6.203,168.83,22.29,23.11,204,209,181,Low
Ashwagandha,0.5,6.428,124.07,32.66,25.07,255,255,208,Low
Ashwagandha,0.5,5.792,74.36,82.44,24.78,232,183,165,Low
Ashwagandha,0.5,7.4,166.34,56.92,24.47,255,226,208,Low
Ashwagandha,0.5,6.451,107.82,87.76,23.54,177,207,195,Low
Ashwagandha,0.5,6.705,125.28,116.35,25.67,250,192,135,Low
Ashwagandha,0.5,6.322,131.16,23.14,24.95,152,196,198,Low
Ashwagandha,0.5,6.074,149.48,50.43,27.48,225,217,167,Low
Ashwagandha,0.5,5.848,137.57,98.3,24.27,255,227,254,Low
Ashwagandha,0.5,5.874,126.82,51.15,25.83,241,228,180,Low
Ashwagandha,0.5,6.276,176.61,107.73,24.88,255,165,180,Low
Ashwagandha,0.5,6.266,108.74,15.89,25.44,255,249,156,Low
Ashwagandha,0.5,6.405,76.16,54.98,25.28,187,190,223,Low
Ashwagandha,0.5,6.796,119.74,44.9,26.07,212,231,213,Low
Ashwagandha,0.5,6.457,85.33,82.13,26.21,228,228,134,Low
Ashwagandha,0.5,5.983,118.67,73.01,22.65,206,213,211,Low
Ashwagandha,0.5,6.632,81.7,87.62,24.17,216,254,207,Low
Ashwagandha,0.5,6.715,99.75,78.27,25.46,223,210,183,Low
Ashwagandha,0.5,6.455,171.98,54.81,24.47,255,225,255,Low
Ashwagandha,0.5,6.319,93.03,98.44,24.87,241,165,153,Low
Ashwagandha,0.5,6.735,120.55,96.48,24.52,210,236,181,Low
Ashwagandha,0.5,6.65,128.1,72.28,26.15,225,233,184,Low
Ashwagandha,0.5,7.602,87.4,60.44,24.91,255,252,241,Low
Ashwagandha,0.5,6.424,126.54,90.52,24.82,225,238,215,Low
Ashwagandha,0.5,7.343,81.95,75.42,26.81,255,231,255,Low
Ashwagandha,0.5,6.078,124.11,51.81,25.4,239,255,239,Low
Ashwagandha,0.5,6.804,140.96,68.86,24.55,237,100,216,Low
Ashwagandha,0.5,6.882,139.34,120.66,25.01,187,188,197,Low
Ashwagandha,0.5,6.907,77.53,86.02,25.56,255,219,201,Low
Ashwagandha,0.5,6.824,133.91,114.31,23.87,235,236,196,Low
